epoch,train_loss,val_loss,mean_pseudo_dice,epoch_time_seconds
207,-0.7793,-0.7712,0.8551375,122.06
208,-0.7817,-0.798,0.8725499999999999,122.04
209,-0.7837,-0.778,0.871575,122.44
210,-0.7849,-0.8006,0.87495,122.64
211,-0.7861,-0.7963,0.8757,122.41
212,-0.785,-0.7916,0.8658625,122.1
213,-0.7816,-0.7644,0.853175,122.13
214,-0.787,-0.7851,0.8599625,122.1
215,-0.7696,-0.7804,0.8644125,122.35
216,-0.7763,-0.7728,0.8523875,122.35
217,-0.7948,-0.7586,0.8616375000000001,122.33
218,-0.7876,-0.8135,0.8789375,122.1
219,-0.7576,-0.7896,0.8605875,122.12
220,-0.7836,-0.7877,0.85465,122.11
221,-0.7949,-0.7441,0.8383,122.11
222,-0.7799,-0.7791,0.8626875,122.1
223,-0.7866,-0.7738,0.86025,122.19
224,-0.7831,-0.7761,0.8666125,122.37
225,-0.7821,-0.7866,0.8590375,122.32
226,-0.7878,-0.7973,0.8721125,122.27
227,-0.7959,-0.7668,0.8644875,122.12
228,-0.7749,-0.7898,0.861825,122.02
229,-0.7918,-0.7631,0.8629125,122.2
230,-0.7951,-0.792,0.8722,122.34
231,-0.7656,-0.752,0.8577625,122.32
232,-0.7794,-0.7684,0.8592875,122.21
233,-0.7796,-0.7803,0.8523875,122.13
234,-0.784,-0.7793,0.862175,122.08
235,-0.782,-0.7601,0.8440124999999999,122.13
236,-0.7894,-0.765,0.8404125,122.12
237,-0.7807,-0.7866,0.872525,122.06
238,-0.7804,-0.7843,0.8628875,122.25
239,-0.7954,-0.7566,0.849425,122.4
240,-0.782,-0.7988,0.867775,122.34
241,-0.7792,-0.7857,0.87205,122.18
242,-0.7933,-0.7766,0.8567,122.08
243,-0.7971,-0.7774,0.8679749999999999,122.07
244,-0.7832,-0.7675,0.8626875,122.29
245,-0.7981,-0.7865,0.8578875,122.38
246,-0.7926,-0.7991,0.874175,122.36
247,-0.7744,-0.7988,0.8742875,122.15
248,-0.7756,-0.7897,0.8678375,122.07
249,-0.7889,-0.789,0.85975,122.0
250,-0.8001,-0.791,0.878175,122.14
251,-0.7903,-0.8052,0.877275,122.11
252,-0.8059,-0.7981,0.8853625,122.14
253,-0.7843,-0.8006,0.8799,122.57
254,-0.7931,-0.7885,0.861375,122.57
255,-0.7979,-0.7902,0.8689625,122.36
256,-0.7977,-0.8057,0.880275,122.12
257,-0.7912,-0.8029,0.881775,122.06
258,-0.7857,-0.7739,0.87005,122.17
259,-0.7805,-0.782,0.861725,122.42
260,-0.7873,-0.8152,0.8791,122.41
261,-0.7859,-0.7755,0.8646,122.32
262,-0.7772,-0.7989,0.8781125,122.08
263,-0.7756,-0.7736,0.8531,122.09
264,-0.7882,-0.7949,0.868275,122.08
265,-0.7861,-0.773,0.8699875,122.07
266,-0.7745,-0.7665,0.8533625,122.08
267,-0.7888,-0.7765,0.8627625,122.21
268,-0.796,-0.7934,0.8739875,122.43
269,-0.7958,-0.7694,0.854275,122.4
270,-0.7956,-0.7855,0.8663625,122.29
271,-0.7846,-0.7794,0.8482875,122.15
272,-0.7817,-0.77,0.8633125,122.06
273,-0.781,-0.7943,0.871575,122.26
274,-0.7818,-0.7617,0.846225,122.43
275,-0.7857,-0.7977,0.860775,122.46
276,-0.7791,-0.7755,0.8661125,122.22
277,-0.7808,-0.7886,0.8721125,122.11
278,-0.7915,-0.7859,0.8735125,122.1
279,-0.7867,-0.7779,0.8722875,122.13
280,-0.7968,-0.7913,0.8684000000000001,122.06
281,-0.7821,-0.7742,0.8716875,122.1
282,-0.7957,-0.8023,0.878325,122.32
283,-0.8006,-0.7874,0.8664875,122.33
284,-0.7895,-0.79,0.874375,122.34
285,-0.7807,-0.7648,0.857,122.21
286,-0.7899,-0.7722,0.86195,122.08
287,-0.7846,-0.7813,0.8570875,122.11
288,-0.7734,-0.7629,0.852175,122.38
289,-0.7743,-0.7954,0.8696375,122.38
290,-0.7771,-0.7752,0.8583625,122.33
291,-0.7705,-0.7523,0.8588125,122.13
292,-0.7759,-0.7586,0.85105,122.13
293,-0.7822,-0.7705,0.853375,122.07
294,-0.7867,-0.7886,0.86395,122.12
295,-0.7828,-0.7968,0.864,122.06
296,-0.7807,-0.7835,0.87195,122.09
297,-0.7964,-0.7972,0.8763,122.37
298,-0.7815,-0.7847,0.8592,122.41
299,-0.8007,-0.7892,0.8691125,122.33
300,-0.7872,-0.782,0.8657125,122.19
301,-0.7915,-0.779,0.867875,122.09
302,-0.7899,-0.8028,0.8736875,122.16
303,-0.7966,-0.7744,0.864475,122.33
304,-0.7898,-0.7624,0.854825,122.3
305,-0.7887,-0.7858,0.876375,122.24
306,-0.8008,-0.7904,0.87325,122.14
307,-0.7981,-0.7866,0.8447375,122.09
308,-0.796,-0.7845,0.8492625,122.14
309,-0.7884,-0.7821,0.8749375,122.1
310,-0.7874,-0.7921,0.873325,122.15
311,-0.7899,-0.7636,0.85755,122.27
312,-0.7853,-0.7817,0.8681125000000001,122.4
313,-0.7903,-0.7784,0.8656874999999999,122.41
